,count,mean,std,min,5%,25%,50%,75%,95%,max
HWLI,51031.0,1.959593188454077e-05,0.004426729253584498,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WDLI,51031.0,0.004232721287060807,0.06492216841899293,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DLI,51031.0,0.12196508004938175,0.32724867892712156,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ALI,51031.0,0.0067997883639356466,0.08218079816395597,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HDLI,51031.0,0.10722893927220709,0.309407126336161,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LLELI,51031.0,0.043365797260488725,0.20368116713538045,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LILHSE,51031.0,0.06435304030883189,0.24538318287905328,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PLHSE,51031.0,0.0397993376575023,0.19548938400742996,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LMILHSE,51031.0,0.053026591679567324,0.2240887241227352,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ULHSE,51031.0,0.05584840587094119,0.22963099689249108,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EPL_ET,51031.0,0.3212165154513923,0.4669483251539883,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EAL_ET,51031.0,0.20524779055868,0.403886533079219,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBL_ET,51031.0,0.33985224667359054,0.47366348137768366,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EB_ET,51031.0,0.11967235601889048,0.3245811881686393,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PM25_ET,51031.0,0.007603221571201819,0.08686518551888173,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DS_ET,51031.0,0.0034096921479100937,0.058293505100861974,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TP_ET,51031.0,0.009229683917618702,0.09562779957129908,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LPP_ET,51031.0,0.005545648723325038,0.07426306333014634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HB_ET,51031.0,0.018185024788853834,0.1336214037546632,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RMP_ET,51031.0,0.03337187199937293,0.17960741159627816,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NPL_ET,51031.0,0.013854323842370325,0.11688733586486523,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TSDF_ET,51031.0,0.00017636338696086693,0.013279146748934009,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WD_ET,51031.0,0.010816954400266504,0.10344156600384634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DB_ET,51031.0,0.13987576179185202,0.34686148632878233,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_ET,51031.0,0.007270090729164625,0.08495515252885409,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HD_ET,51031.0,0.14459838137602635,0.35169889584940023,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LLE_ET,51031.0,0.049597303599772685,0.21711364488443022,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UN_ET,51031.0,0.060002743430463835,0.23749425149002606,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LISO_ET,51031.0,0.06452940369579276,0.2456960371945728,0.0,0.0,0.0,0.0,0.0,1.0,1.0
POV_ET,51031.0,0.04418882639963943,0.20551642682391638,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LMI_ET,51031.0,0.055574062824557624,0.2290995741808788,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IA_LMI_ET,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA_UN_ET,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA_POV_ET,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,51031.0,0.901687209735259,1.720254122266314,0.0,0.0,0.0,0.0,1.0,5.0,12.0
CC,51031.0,0.6529756422566675,1.1379263851149968,0.0,0.0,0.0,0.0,1.0,3.0,7.0
IAULHSE,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAPLHSE,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IALMILHSE,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IALMIL_87,0.0,,,,,,,,,
IAPLHS_88,0.0,,,,,,,,,
IAULHS_89,0.0,,,,,,,,,
LHE,51031.0,0.7778017283611922,0.4157277792935404,0.0,0.0,1.0,1.0,1.0,1.0,1.0
IALHE,51031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAHSEF,0.0,,,,,,,,,
CA,51008.0,0.04666758155583438,0.0489462661265105,0.0,0.01,0.02,0.04,0.06,0.1,1.0
NCA,51008.0,0.9433975062735257,0.04895168452125167,0.0,0.89,0.93,0.95,0.97,0.98,1.0
CA_LT20,51031.0,0.9896337520330779,0.10128667189950373,0.0,1.0,1.0,1.0,1.0,1.0,1.0
M_CLT_EOMI,51031.0,0.5876232094217241,0.49226712442787596,0.0,0.0,0.0,1.0,1.0,1.0,1.0
M_ENY_EOMI,51031.0,0.12588426642628991,0.3317221340528934,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_TRN_EOMI,51031.0,0.011150085242303698,0.10500465182879024,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_HSG_EOMI,51031.0,0.023279967078834434,0.15079275776002538,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_PLN_EOMI,51031.0,0.044600340969214794,0.20642670751676342,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_WTR_EOMI,51031.0,0.010816954400266504,0.10344156600384634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_HLTH_102,51031.0,0.2366208775058298,0.42501173812603904,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_WKFC_103,51031.0,0.1373674825106308,0.34423825960640475,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FPL200S,51031.0,0.36505261507711,0.4814496292624201,0.0,0.0,0.0,0.0,1.0,1.0,1.0
M_WKFC_105,51031.0,0.7778017283611922,0.4157277792935404,0.0,0.0,1.0,1.0,1.0,1.0,1.0
M_EBSI,51031.0,0.3577237365522917,0.4793349218023014,0.0,0.0,0.0,0.0,1.0,1.0,1.0
THRHLD,51031.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
No_FireStation_1.0km,4832.0,1.0353890728476822,0.19881061604495046,1.0,1.0,1.0,1.0,1.0,1.0,3.0
No_FireStation_5.0km,32001.0,2.384769225961689,2.5468444723368817,1.0,1.0,1.0,1.0,2.0,8.0,17.0
No_FireStation_10.0km,48893.0,8.6083079377416,11.774525221407202,1.0,1.0,3.0,5.0,9.0,39.400000000001455,70.0
No_FireStation_20.0km,50935.0,34.28312555217434,40.16562239544604,1.0,4.0,14.0,25.0,37.0,142.0,251.0
FRG,51033.0,2.265259733897674,45.527821517361836,-9999.0,1.0,1.0,2.0,2.0,2.0,133.0
TRI_1km,51033.0,2.6684218446887304,1.768139751212863,0.0,0.683,1.633,2.361,3.35,5.394,55.312
TRI,51033.0,2.52734142613603,2.2675766446874253,0.0,0.0,1.414,2.0,3.162,6.083,54.69
Aspect_1km,51033.0,28.831811242810563,31.438106125356107,-0.8134911242603551,-0.7926997245179064,2.495621301775148,17.47431952662722,47.25482093663912,93.21551882460972,192.6496503496504
Elevation_1km,51033.0,220.42412100001079,229.2617643152318,-0.7669880624426079,23.480812318994143,84.62074592074592,126.7939393939394,254.1372819100092,809.1254672600127,1865.9205128205128
Elevation,51033.0,277.1008367134991,287.0175301434092,0.0,30.0,108.0,160.0,319.0,1013.3999999999942,2471.0
Slope_1km,51033.0,1.138868432257938,1.1478816673011278,-0.8130177514792899,-0.5263403263403263,0.4722610722610723,1.0578512396694215,1.69020979020979,2.885537190082643,27.34319526627219
Aspect,51033.0,31.489839907510827,81.37675480387081,-1.0,-1.0,-1.0,-1.0,-1.0,259.0,359.0
Slope,51033.0,1.5548174710481453,1.6629315432986345,0.0,0.0,1.0,1.0,2.0,4.0,36.0
GHM,51033.0,-1.6002932062243439e+35,7.377710345739825e+36,-3.402823466385289e+38,0.13,0.3,0.4,0.54,0.83,1.0
TPI,51033.0,0.03502145670448533,0.46990426081728554,-7.125,-0.625,-0.25,0.0,0.25,0.75,7.0
TPI_1km,51033.0,0.0004604863519683343,0.007378607615498019,-0.16,-0.01,0.0,0.0,0.0,0.01,0.27
TRACT,51018.0,568121.8987612216,447558.51349710743,100.0,600.0,20300.0,950100.0,950400.0,961400.0,980100.0
RPL_THEMES,51018.0,-0.1671183699870634,27.627902074582888,-999.0,0.1979,0.4467,0.6105,0.7693,0.9404,0.9997
RPL_THEME1,51018.0,-0.20188162413265906,27.626858370176645,-999.0,0.1638,0.4267,0.5778,0.7109,0.903,0.9998
EPL_POV,51018.0,-0.08534462542632013,25.02642092878759,-999.0,0.1563,0.3923,0.5524,0.7009,0.9058,0.9998
EPL_UNEMP,51018.0,0.022559622094162856,19.78606399203184,-999.0,0.0251,0.1731,0.3946,0.6404,0.8775,0.9996
EPL_PCI,48325.0,0.09732251629591306,21.802875094781104,-999.0,0.2245,0.418,0.5837,0.7218,0.9325,0.9997
EPL_NOHSDP,51018.0,0.26681883452898975,19.7901000708185,-999.0,0.2414,0.5427,0.681,0.8039,0.9618,0.9999
RPL_THEME2,51018.0,0.04834323180054097,24.635487739417936,-999.0,0.1976,0.5051,0.6931,0.844,0.9665,0.9999
EPL_AGE65,51018.0,0.24392070641734293,19.28915138593186,-999.0,0.0968,0.4265,0.67,0.8508,0.9510899999999964,0.9993
EPL_AGE17,51018.0,0.196368383707711,19.28816791167471,-999.0,0.12175500000000011,0.3677,0.5884,0.7875,0.9559,0.9993
EPL_DISABL,51018.0,0.19558661844839076,21.67833350807609,-999.0,0.1991,0.5136,0.72,0.8552,0.9513,0.9997
EPL_SNGPNT,51018.0,0.07178039515465129,19.285706068406625,-999.0,0.0694,0.2292,0.4154,0.6408,0.8939,0.9996
RPL_THEME3,51018.0,0.02327411109804384,22.56000040876633,-999.0,0.148,0.3537,0.5351,0.7058,0.9378,0.9999
EPL_MINRTY,51018.0,0.12284655611744877,19.286217114401133,-999.0,0.178,0.3251,0.4704,0.6376,0.9108,0.9968
EPL_LIMENG,51018.0,0.1799773334901407,19.287771426223653,-999.0,0.0,0.3854,0.576,0.7479,0.9357,0.9998
RPL_THEME4,51018.0,-0.21950235799129722,27.62659910473979,-999.0,0.15136500000000033,0.3481,0.5476,0.742,0.9221,0.9996
EPL_MUNIT,51018.0,-0.12481286800736999,19.28168586837764,-999.0,0.0,0.0,0.2472,0.37415,0.7195,0.9993
EPL_MOBILE,51018.0,0.19905092712376027,25.033515557745936,-999.0,0.4228,0.8035,0.9013,0.9411,0.9789,1.0
EPL_CROWD,51018.0,0.24120875769336317,19.288711963524882,-999.0,0.1964,0.4578,0.6533,0.8074,0.9309,0.9997
EPL_NOVEH,51018.0,-0.2586964483123603,25.02208922551038,-999.0,0.0435,0.1931,0.3545,0.5247,0.7607,0.9715
EPL_GROUPQ,51018.0,0.018202763730448063,19.28672265927329,-999.0,0.0,0.0,0.3889,0.7556,0.9678,0.9976
road_county_dis,959.0,12.328571428571431,6.360630240734784,0.5,2.6,8.05,11.7,15.1,25.20999999999999,30.1
road_interstate_dis,39.0,19.26153846153846,5.186602953998807,10.0,11.0,15.5,20.2,22.450000000000003,26.34,30.0
