========================================================================
  Texas Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 51,033
  Columns        : 310
  Large fires    : 1,700  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,333  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  IALHE                                          float64              2         2     0.0%
  IAHSEF                                         float64              1    51,033   100.0%
  CA                                             float64             65        25     0.0%
  NCA                                            float64             65        25     0.0%
  CA_LT20                                        float64              3         2     0.0%
  M_CLT_EOMI                                     float64              3         2     0.0%
  M_ENY_EOMI                                     float64              3         2     0.0%
  M_TRN_EOMI                                     float64              3         2     0.0%
  M_HSG_EOMI                                     float64              3         2     0.0%
  M_PLN_EOMI                                     float64              3         2     0.0%
  M_WTR_EOMI                                     float64              3         2     0.0%
  M_HLTH_102                                     float64              3         2     0.0%
  M_WKFC_103                                     float64              3         2     0.0%
  FPL200S                                        float64              3         2     0.0%
  M_WKFC_105                                     float64              3         2     0.0%
  M_EBSI                                         float64              3         2     0.0%
  UI_EXP                                         object               2         2     0.0%
  THRHLD                                         float64              2         2     0.0%
  No_FireStation_1.0km                           float64              4    46,201    90.5%
  No_FireStation_5.0km                           float64             18    19,032    37.3%
  No_FireStation_10.0km                          float64             71     2,140     4.2%
  No_FireStation_20.0km                          float64            252        98     0.2%
  FRG_1km                                        object          11,435         0     0.0%
  FRG                                            float64             10         0     0.0%
  TRI_1km                                        float64          6,944         0     0.0%
  TRI                                            float64            356         0     0.0%
  Aspect_1km                                     float64         43,128         0     0.0%
  Elevation_1km                                  float64         49,042         0     0.0%
  Elevation                                      float64          1,452         0     0.0%
  Slope_1km                                      float64         28,126         0     0.0%
  Aspect                                         float64            361         0     0.0%
  Slope                                          float64             31         0     0.0%
  GHM                                            float64            102         0     0.0%
  TPI                                            float64             83         0     0.0%
  TPI_1km                                        float64             26         0     0.0%
  TRACT                                          float64          1,756        15     0.0%
  RPL_THEMES                                     float64          4,259        15     0.0%
  RPL_THEME1                                     float64          4,311        15     0.0%
  EPL_POV                                        float64          1,572        15     0.0%
  EPL_UNEMP                                      float64            713        15     0.0%
  EPL_PCI                                        float64          3,824     2,708     5.3%
  EPL_NOHSDP                                     float64          1,508        15     0.0%
  RPL_THEME2                                     float64          4,294        15     0.0%
  EPL_AGE65                                      float64          1,152        15     0.0%
  EPL_AGE17                                      float64          3,242        15     0.0%
  EPL_DISABL                                     float64            950        15     0.0%
  EPL_SNGPNT                                     float64          3,213        15     0.0%
  RPL_THEME3                                     float64          4,042        15     0.0%
  EPL_MINRTY                                     float64          3,656        15     0.0%
  EPL_LIMENG                                     float64          2,904        15     0.0%
  RPL_THEME4                                     float64          4,379        15     0.0%
  EPL_MUNIT                                      float64          2,515        15     0.0%
  EPL_MOBILE                                     float64          1,300        15     0.0%
  EPL_CROWD                                      float64          2,798        15     0.0%
  EPL_NOVEH                                      float64            799        15     0.0%
  EPL_GROUPQ                                     float64          1,901        15     0.0%
  road_county_dis                                float64            253    50,074    98.1%
  road_interstate_dis                            float64             35    50,994    99.9%
  road_common_name_dis                           float64            507    17,200    33.7%
  road_other_dis                                 float64            170    50,772    99.5%
  road_state_dis                                 float64            229    50,270    98.5%
  road_US_dis                                    float64             90    50,922    99.8%
  Ecoregion_US_L4CODE                            object              57        10     0.0%
  Ecoregion_US_L3CODE                            float64             13        10     0.0%
  Ecoregion_NA_L3CODE                            object              13        10     0.0%
  Ecoregion_NA_L2CODE                            float64              7        10     0.0%
  Ecoregion_NA_L1CODE                            float64              5        10     0.0%
  SDI                                            float64             90         0     0.0%
  Annual_etr                                     float64          1,313         0     0.0%
  Annual_precipitation                           float64          2,018         0     0.0%
  Annual_tempreture                              float64             14         0     0.0%
  Aridity_index                                  float64            135         0     0.0%
  Evacuation                                     float64              5    50,266    98.5%
  pr                                             float64            578         0     0.0%
  tmmn                                           float64            436         0     0.0%
  tmmx                                           float64            480         0     0.0%
  rmin                                           float64            891         0     0.0%
  rmax                                           float64            750         0     0.0%
  sph                                            float64          1,983         0     0.0%
  vs                                             float64            114         0     0.0%
  th                                             float64            361         0     0.0%
  srad                                           float64          3,264         0     0.0%
  etr                                            float64            187         0     0.0%
  fm100                                          float64            220         0     0.0%
  fm1000                                         float64            219         0     0.0%
  bi                                             float64            117         0     0.0%
  vpd                                            float64            464         0     0.0%
  erc                                            float64            101         0     0.0%
  pr_5D_mean                                     float64          1,159         0     0.0%
  tmmn_5D_mean                                   float64          3,903         0     0.0%
  tmmx_5D_mean                                   float64          3,898         0     0.0%
  rmin_5D_mean                                   float64            732         0     0.0%
  rmax_5D_mean                                   float64            663         0     0.0%
  sph_5D_mean                                    float64         14,809         0     0.0%
  vs_5D_mean                                     float64            341         0     0.0%
  th_5D_mean                                     float64          1,471         0     0.0%
  srad_5D_mean                                   float64         20,006         0     0.0%
  etr_5D_mean                                    float64            742         0     0.0%
  fm100_5D_mean                                  float64            208         0     0.0%
  fm1000_5D_mean                                 float64            214         0     0.0%
  bi_5D_mean                                     float64            488         0     0.0%
  vpd_5D_mean                                    float64            428         0     0.0%
  erc_5D_mean                                    float64            457         0     0.0%
  pr_5D_min                                      float64             46         0     0.0%
  pr_5D_max                                      float64            961         0     0.0%
  tmmn_5D_max                                    float64            372         0     0.0%
  tmmx_5D_max                                    float64            393         0     0.0%
  rmin_5D_min                                    float64            624         0     0.0%
  rmax_5D_min                                    float64            783         0     0.0%
  sph_5D_min                                     float64          1,892         0     0.0%
  vs_5D_max                                      float64            117         0     0.0%
  th_5D_max                                      float64            356         0     0.0%
  srad_5D_max                                    float64          2,709         0     0.0%
  etr_5D_max                                     float64            190         0     0.0%
