Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
road_interstate_dis,41,41,37.617073,41.0,10.656662,113.564451,7.3,15.8,35.6,44.1,49.6,51.4,8.5,-1.355423,1.307006,1,2.439,0,False,False,,,
TRI,50881,50881,8.58223,4.123,10.948746,119.875034,0.0,0.0,1.732,11.446,32.342,146.792,9.714,2.212377,6.371972,1235,2.4272,0,True,False,,,
TPLI,50879,50879,0.024195,0.0,0.153655,0.02361,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.193423,36.359923,1231,2.4195,0,True,True,,,
road_state_dis,693,693,38.106782,39.5,7.359169,54.157367,4.1,24.68,35.8,42.3,47.84,54.5,6.5,-1.592704,4.379922,16,2.3088,0,False,False,,,
No_FireStation_10.0km,48447,48447,15.846657,11.0,16.775097,281.403869,1.0,1.0,5.0,20.0,49.0,120.0,15.0,2.323049,6.91749,1087,2.2437,0,True,False,,,
Slope,50881,50881,5.706767,3.0,7.547005,56.957291,0.0,0.0,1.0,8.0,23.0,59.0,7.0,1.990863,4.105468,1007,1.9791,0,False,False,,,
No_FireStation_20.0km,50703,50703,60.487585,40.0,59.709003,3565.165042,1.0,7.0,20.0,78.0,178.0,393.0,58.0,2.063056,5.440576,915,1.8046,0,True,False,,,
EPLRLI,50879,50879,0.015193,0.0,0.122321,0.014962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.927125,60.841705,773,1.5193,0,True,True,,,
WDLI,50879,50879,0.015134,0.0,0.122087,0.014905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.943281,61.098112,770,1.5134,0,True,True,,,
M_WTR,50879,50879,0.015134,0.0,0.122087,0.014905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.943281,61.098112,770,1.5134,0,True,True,,,
GACC_Type 1 IMTs,50781,50781,0.570331,0.0,1.03972,1.081017,0.0,0.0,0.0,1.0,3.0,7.0,1.0,2.513236,7.602575,620,1.2209,0,True,True,,,
Aridity_index,50881,50881,0.331502,0.23,0.300976,0.090586,0.01,0.06,0.13,0.44,0.96,3.48,0.31,2.061736,6.212057,596,1.1714,0,True,False,,,
DS_ET,50879,50879,0.010869,0.0,0.103687,0.010751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.435129,87.025083,553,1.0869,0,True,True,,,
HWLI,50879,50879,0.010279,0.0,0.100865,0.010174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.710764,92.302557,523,1.0279,0,True,True,,,
TC,50879,50879,1.231038,0.0,2.009388,4.037642,0.0,0.0,0.0,2.0,5.0,14.0,2.0,2.008851,4.431048,501,0.9847,0,True,False,,,
GACC_Area Command Teams,50781,50781,0.008724,0.0,0.09673,0.009357,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.717864,149.072082,425,0.8369,0,True,True,,,
vs,50881,50881,3.296578,3.0,1.422716,2.024121,0.4,1.6,2.4,3.9,6.0,14.9,1.5,1.595844,4.52641,420,0.8255,0,False,False,,,
HSEF,50856,50856,0.165404,0.12,0.137598,0.018933,0.0,0.03,0.07,0.22,0.46,0.76,0.15,1.537301,2.139279,418,0.8219,0,False,False,,,
CA_LT20,50879,50879,0.991961,1.0,0.089298,0.007974,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-11.018793,119.41849,409,0.8039,0,True,True,,,
NCA,50856,50856,0.926618,0.93,0.043974,0.001934,0.0,0.87,0.91,0.95,0.97,1.0,0.04,-6.826467,100.532092,386,0.759,0,True,True,,,
TPF,50879,50879,4881.488866,4528.0,2885.508048,8326156.696832,0.0,1341.0,2966.0,6180.0,9515.0,38932.0,3214.0,2.871247,22.87138,384,0.7547,0,True,True,,,
CA,50856,50856,0.063461,0.06,0.043865,0.001924,0.0,0.02,0.04,0.08,0.12,0.99,0.04,6.885276,101.496811,357,0.702,0,True,True,,,
GACC_Type 2 IMTs,50781,50781,0.521258,0.0,0.97188,0.944551,0.0,0.0,0.0,1.0,3.0,13.0,1.0,3.033882,17.704224,356,0.701,0,True,True,,,
Annual_precipitation,50881,50881,632.197932,460.0,506.815135,256861.581478,18.0,148.0,279.0,824.0,1698.0,5377.0,545.0,1.806042,4.593075,355,0.6977,0,False,False,,,
No_FireStation_5.0km,38805,38805,3.93756,3.0,3.523127,12.412424,1.0,1.0,1.0,5.0,11.0,41.0,4.0,2.207854,7.91872,243,0.6262,0,True,True,,,
DPMLI,50879,50879,0.005719,0.0,0.075411,0.005687,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.109455,169.864487,291,0.5719,0,True,True,,,
vs_5D_mean,50881,50881,3.27916,3.1,1.05385,1.110601,0.56,1.94,2.58,3.8,5.2,12.5,1.22,1.354007,3.791896,265,0.5208,0,False,False,,,
vs_5D_max,50881,50881,4.375162,4.1,1.591892,2.534122,0.6,2.4,3.3,5.1,7.5,15.3,1.8,1.325429,2.759077,233,0.4579,0,False,False,,,
LPP_ET,50879,50879,0.004579,0.0,0.067517,0.004559,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.675902,213.390495,233,0.4579,0,True,True,,,
Annual_tempreture,50881,50881,289.313693,290.0,3.505931,12.291552,274.0,282.0,288.0,291.0,293.0,299.0,3.0,-0.816468,1.112994,189,0.3715,0,False,False,,,
LPMHVLI,50879,50879,0.003322,0.0,0.057538,0.003311,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.264996,296.091719,169,0.3322,0,True,True,,,
pr_5D_min,50881,50881,0.005354,0.0,0.20923,0.043777,0.0,0.0,0.0,0.0,0.0,34.6,0.0,106.255962,15499.434082,161,0.3164,0,True,True,,,
rmin_5D_min,50881,50881,18.230082,16.4,10.873674,118.236794,1.0,3.7,10.8,23.4,39.6,93.4,12.6,1.145988,1.914983,133,0.2614,0,False,False,,,
Elevation,50881,50881,525.060376,267.0,617.340484,381109.27273,-83.0,12.0,80.0,775.0,1912.0,3650.0,695.0,1.551349,1.846718,108,0.2123,0,False,False,,,
Elevation_1km,50881,50881,422.688479,221.953147,489.633578,239741.041175,-65.644399,11.180211,66.119376,624.215106,1525.219467,2981.480186,558.09573,1.538444,1.820063,91,0.1788,0,False,False,,,
Annual_etr,50881,50881,2097.837385,2076.0,376.334643,141627.763808,916.0,1538.0,1862.0,2284.0,2752.0,3620.0,422.0,0.76072,1.78823,63,0.1238,0,False,False,,,
th_5D_max,50881,50881,279.646548,291.0,52.890444,2797.399086,4.0,182.0,247.0,321.0,344.0,360.0,74.0,-1.037918,1.281763,56,0.1101,0,False,False,,,
rmin,50881,50881,25.011865,22.4,14.156287,200.400448,1.0,6.5,15.0,32.100002,53.200001,100.0,17.100002,1.026737,1.286754,54,0.1061,0,False,False,,,
GHM,50881,50881,-3.544538112820509e+35,0.45,1.0976844048721093e+37,1.2049110526994369e+74,-3.402823466385289e+38,0.03,0.25,0.71,0.92,0.99,0.46,-30.93665,955.113884,53,0.1042,0,True,True,,,
fm1000_5D_mean,50881,50881,10.943588,10.3,3.775237,14.252414,2.8,6.0,8.1,13.2,17.9,34.1,5.1,0.951455,1.270834,41,0.0806,0,False,False,,,
RPL_THEMES,50837,50837,-0.189624,0.6372,28.378027,805.312423,-999.0,0.162,0.4245,0.8476,0.9713,1.0,0.4231,-35.16671,1234.847275,41,0.0806,0,True,True,,,
RPL_THEME4,50837,50837,-0.167146,0.6245,27.677325,766.03434,-999.0,0.1488,0.415,0.815,0.9511,1.0,0.4,-36.0592,1298.425269,39,0.0767,0,True,True,,,
fm1000,50881,50881,10.93657,10.3,3.774073,14.243626,2.8,6.0,8.1,13.2,17.8,34.6,5.1,0.951952,1.299286,39,0.0766,0,False,False,,,
RPL_THEME1,50837,50837,-0.152575,0.6151,27.3204,746.404257,-999.0,0.1318,0.4043,0.8207,0.97,0.9999,0.4164,-36.531313,1332.708927,38,0.0747,0,True,True,,,
fm1000_5D_min,50881,50881,10.62896,10.0,3.680005,13.54244,2.8,5.9,7.9,12.9,17.4,33.2,5.0,0.938833,1.153319,35,0.0688,0,False,False,,,
EPL_NOVEH,50837,50837,-0.276999,0.369,25.838227,667.613972,-999.0,0.0334,0.1931,0.5795,0.806,0.9996,0.3864,-38.625258,1490.097357,34,0.0669,0,True,True,,,
RPL_THEME2,50837,50837,-0.100665,0.5697,25.459867,648.204822,-999.0,0.09938,0.355,0.7608,0.923,0.9998,0.4058,-39.206328,1535.353549,33,0.0649,0,True,True,,,
EPL_MOBILE,50837,50837,0.06351,0.7668,24.680388,609.121549,-999.0,0.0,0.6034,0.8712,0.9776,0.9999,0.2678,-40.451116,1634.593082,31,0.061,0,True,True,,,
EPL_UNEMP,50837,50837,0.073302,0.7263,24.2787,589.455264,-999.0,0.1372,0.4859,0.8842,0.9697,1.0,0.3983,-41.122786,1689.34464,30,0.059,0,True,True,,,
EPL_DISABL,50837,50837,0.024722,0.6027,23.454198,550.099407,-999.0,0.0875,0.3446,0.8322,0.9574,0.9999,0.4876,-42.566747,1810.261604,28,0.0551,0,True,True,,,
EPL_POV,50837,50837,0.071689,0.5829,22.162357,491.170071,-999.0,0.1185,0.369,0.7704,0.9396,0.9998,0.4014,-45.053409,2028.153179,25,0.0492,0,True,True,,,
EPL_PCI,47165,47165,0.028476,0.5125,22.068717,487.028269,-999.0,0.0681,0.2918,0.7614,0.9543,0.9999,0.4696,-45.24158,2045.215007,23,0.0488,0,True,True,,,
RPL_THEME3,50837,50837,0.154347,0.6337,21.25889,451.940422,-999.0,0.1677,0.3972,0.8331,0.9673,0.9999,0.4359,-46.973113,2204.880904,23,0.0452,0,True,True,,,
rpms_1km,50881,50881,507.063626,314.602715,539.638708,291209.934732,0.0,3.788323,77.927751,771.26506,1645.983874,3324.151674,693.33731,1.343226,1.332241,21,0.0413,0,False,False,,,
rmin_5D_mean,50881,50881,25.500368,23.4,12.559608,157.743752,1.0,8.7,16.6,32.2,50.2,93.4,15.6,0.884408,0.826817,20,0.0393,0,False,False,,,
