Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
IALMILHSE,float64,Numeric,0.0,1,2,0.0039,No description available
IALMIL_87,float64,Numeric,N/A,0,50881,100.0,No description available
IAPLHS_88,float64,Numeric,N/A,0,50881,100.0,No description available
IAULHS_89,float64,Numeric,N/A,0,50881,100.0,No description available
LHE,float64,Numeric,0.0,2,2,0.0039,No description available
IALHE,float64,Numeric,0.0,1,2,0.0039,No description available
IAHSEF,float64,Numeric,N/A,0,50881,100.0,No description available
CA,float64,Numeric,0.01,65,25,0.0491,No description available
NCA,float64,Numeric,0.98,65,25,0.0491,No description available
CA_LT20,float64,Numeric,1.0,2,2,0.0039,No description available
M_CLT_EOMI,float64,Numeric,1.0,2,2,0.0039,No description available
M_ENY_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_TRN_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_HSG_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_PLN_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_WTR_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_HLTH_102,float64,Numeric,0.0,2,2,0.0039,No description available
M_WKFC_103,float64,Numeric,1.0,2,2,0.0039,No description available
FPL200S,float64,Numeric,0.0,2,2,0.0039,No description available
M_WKFC_105,float64,Numeric,0.0,2,2,0.0039,No description available
M_EBSI,float64,Numeric,0.0,2,2,0.0039,No description available
UI_EXP,object,Categorical,Nation,1,2,0.0039,No description available
THRHLD,float64,Numeric,21.0,1,2,0.0039,No description available
No_FireStation_1.0km,float64,Numeric,1.0,4,42760,84.0392,Number of fire stations within 1 km
No_FireStation_5.0km,float64,Numeric,1.0,40,12076,23.7338,Number of fire stations within 5 km
No_FireStation_10.0km,float64,Numeric,1.0,120,2434,4.7837,No description available
No_FireStation_20.0km,float64,Numeric,8.0,389,178,0.3498,No description available
FRG_1km,object,Text,1(81%) / 4(12%) / 3(7%),24591,0,0.0,No description available
FRG,float64,Numeric,1.0,10,0,0.0,No description available
TRI_1km,float64,Numeric,34.036,21986,0,0.0,No description available
TRI,float64,Numeric,28.965,2394,0,0.0,No description available
Aspect_1km,float64,Numeric,140.06899766899767,40270,0,0.0,No description available
Elevation_1km,float64,Numeric,1093.1151515151514,45301,0,0.0,Elevation (meters)
Elevation,float64,Numeric,1329.0,2878,0,0.0,Elevation (meters)
Slope_1km,float64,Numeric,17.824475524475524,37993,0,0.0,Terrain slope
Aspect,float64,Numeric,17.0,361,0,0.0,No description available
Slope,float64,Numeric,26.0,56,0,0.0,Terrain slope
GHM,float64,Numeric,0.01,101,0,0.0,No description available
TPI,float64,Numeric,-1.375,185,0,0.0,No description available
TPI_1km,float64,Numeric,-0.02,70,0,0.0,No description available
TRACT,float64,Numeric,100.0,3347,44,0.0865,No description available
RPL_THEMES,float64,Numeric,0.4212,5597,44,0.0865,No description available
RPL_THEME1,float64,Numeric,0.6327,5673,44,0.0865,No description available
EPL_POV,float64,Numeric,0.6969,1674,44,0.0865,No description available
EPL_UNEMP,float64,Numeric,0.9779,867,44,0.0865,No description available
EPL_PCI,float64,Numeric,0.3861,4956,3716,7.3033,No description available
EPL_NOHSDP,float64,Numeric,0.3447,1604,44,0.0865,No description available
RPL_THEME2,float64,Numeric,0.1786,5654,44,0.0865,No description available
EPL_AGE65,float64,Numeric,0.7933,1273,44,0.0865,No description available
EPL_AGE17,float64,Numeric,0.0413,3770,44,0.0865,No description available
EPL_DISABL,float64,Numeric,0.6047,993,44,0.0865,No description available
EPL_SNGPNT,float64,Numeric,0.0405,3609,44,0.0865,No description available
RPL_THEME3,float64,Numeric,0.2931,4730,44,0.0865,No description available
EPL_MINRTY,float64,Numeric,0.4266,4053,44,0.0865,No description available
EPL_LIMENG,float64,Numeric,0.2029,3269,44,0.0865,No description available
RPL_THEME4,float64,Numeric,0.4467,5631,44,0.0865,No description available
EPL_MUNIT,float64,Numeric,0.0,3049,44,0.0865,No description available
EPL_MOBILE,float64,Numeric,0.776,1183,44,0.0865,No description available
EPL_CROWD,float64,Numeric,0.5604,3066,44,0.0865,No description available
EPL_NOVEH,float64,Numeric,0.2397,884,44,0.0865,No description available
EPL_GROUPQ,float64,Numeric,0.6786,2710,44,0.0865,No description available
road_county_dis,float64,Numeric,29.9,281,50042,98.3511,Road/infrastructure distance
road_interstate_dis,float64,Numeric,38.5,37,50840,99.9194,Road/infrastructure distance
road_common_name_dis,float64,Numeric,40.4,625,17820,35.0229,Road/infrastructure distance
road_other_dis,float64,Numeric,22.6,215,50536,99.3219,Road/infrastructure distance
road_state_dis,float64,Numeric,43.9,239,50188,98.638,Road/infrastructure distance
road_US_dis,float64,Numeric,37.5,101,50758,99.7583,Road/infrastructure distance
Ecoregion_US_L4CODE,object,Categorical,8a,173,68,0.1336,Ecoregion classification
Ecoregion_US_L3CODE,float64,Numeric,8.0,13,68,0.1336,Ecoregion classification
Ecoregion_NA_L3CODE,object,Categorical,11.1.3,12,68,0.1336,Ecoregion classification
