Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
TPF,float64,Numeric,5164.0,2184,2,0.0039,No description available
TF_PFS,float64,Numeric,0.29,100,4295,8.4161,No description available
UF_PFS,float64,Numeric,0.21,100,25,0.049,No description available
WF_PFS,float64,Numeric,0.22,98,5191,10.1718,No description available
M_WTR,float64,Numeric,0.0,2,2,0.0039,No description available
M_WKFC,float64,Numeric,0.0,2,2,0.0039,No description available
M_CLT,float64,Numeric,0.0,2,2,0.0039,No description available
M_ENY,float64,Numeric,0.0,2,2,0.0039,No description available
M_TRN,float64,Numeric,0.0,2,2,0.0039,No description available
M_HSG,float64,Numeric,0.0,2,2,0.0039,No description available
M_PLN,float64,Numeric,0.0,2,2,0.0039,No description available
M_HLTH,float64,Numeric,0.0,2,2,0.0039,No description available
SM_C,float64,Numeric,0.0,2,2,0.0039,No description available
SM_PFS,float64,Numeric,0.0,2,2,0.0039,No description available
EPLRLI,float64,Numeric,0.0,2,2,0.0039,No description available
EALRLI,float64,Numeric,0.0,2,2,0.0039,No description available
EBLRLI,float64,Numeric,0.0,2,2,0.0039,No description available
PM25LI,float64,Numeric,0.0,2,2,0.0039,No description available
EBLI,float64,Numeric,0.0,2,2,0.0039,No description available
DPMLI,float64,Numeric,0.0,2,2,0.0039,No description available
TPLI,float64,Numeric,0.0,2,2,0.0039,No description available
LPMHVLI,float64,Numeric,0.0,2,2,0.0039,No description available
HBLI,float64,Numeric,0.0,2,2,0.0039,No description available
RMPLI,float64,Numeric,0.0,2,2,0.0039,No description available
SFLI,float64,Numeric,0.0,2,2,0.0039,No description available
HWLI,float64,Numeric,0.0,2,2,0.0039,No description available
WDLI,float64,Numeric,0.0,2,2,0.0039,No description available
DLI,float64,Numeric,0.0,2,2,0.0039,No description available
ALI,float64,Numeric,0.0,2,2,0.0039,No description available
HDLI,float64,Numeric,0.0,2,2,0.0039,No description available
LLELI,float64,Numeric,0.0,2,2,0.0039,No description available
LILHSE,float64,Numeric,0.0,2,2,0.0039,No description available
PLHSE,float64,Numeric,0.0,2,2,0.0039,No description available
LMILHSE,float64,Numeric,0.0,2,2,0.0039,No description available
ULHSE,float64,Numeric,0.0,2,2,0.0039,No description available
EPL_ET,float64,Numeric,1.0,2,2,0.0039,No description available
EAL_ET,float64,Numeric,0.0,2,2,0.0039,No description available
EBL_ET,float64,Numeric,0.0,2,2,0.0039,No description available
EB_ET,float64,Numeric,0.0,2,2,0.0039,No description available
PM25_ET,float64,Numeric,0.0,2,2,0.0039,No description available
DS_ET,float64,Numeric,0.0,2,2,0.0039,No description available
TP_ET,float64,Numeric,0.0,2,2,0.0039,No description available
LPP_ET,float64,Numeric,0.0,2,2,0.0039,No description available
HB_ET,float64,Numeric,0.0,2,2,0.0039,No description available
RMP_ET,float64,Numeric,0.0,2,2,0.0039,No description available
NPL_ET,float64,Numeric,0.0,2,2,0.0039,No description available
TSDF_ET,float64,Numeric,0.0,2,2,0.0039,No description available
WD_ET,float64,Numeric,0.0,2,2,0.0039,No description available
DB_ET,float64,Numeric,0.0,2,2,0.0039,No description available
A_ET,float64,Numeric,0.0,2,2,0.0039,No description available
HD_ET,float64,Numeric,0.0,2,2,0.0039,No description available
LLE_ET,float64,Numeric,0.0,2,2,0.0039,No description available
UN_ET,float64,Numeric,0.0,2,2,0.0039,No description available
LISO_ET,float64,Numeric,0.0,2,2,0.0039,No description available
POV_ET,float64,Numeric,0.0,2,2,0.0039,No description available
LMI_ET,float64,Numeric,0.0,2,2,0.0039,No description available
IA_LMI_ET,float64,Numeric,0.0,1,2,0.0039,No description available
IA_UN_ET,float64,Numeric,0.0,1,2,0.0039,No description available
IA_POV_ET,float64,Numeric,0.0,1,2,0.0039,No description available
TC,float64,Numeric,0.0,13,2,0.0039,No description available
CC,float64,Numeric,0.0,8,2,0.0039,No description available
IAULHSE,float64,Numeric,0.0,1,2,0.0039,No description available
IAPLHSE,float64,Numeric,0.0,1,2,0.0039,No description available
IALMILHSE,float64,Numeric,0.0,1,2,0.0039,No description available
IALMIL_87,float64,Numeric,N/A,0,51033,100.0,No description available
IAPLHS_88,float64,Numeric,N/A,0,51033,100.0,No description available
IAULHS_89,float64,Numeric,N/A,0,51033,100.0,No description available
LHE,float64,Numeric,0.0,2,2,0.0039,No description available
IALHE,float64,Numeric,0.0,1,2,0.0039,No description available
IAHSEF,float64,Numeric,N/A,0,51033,100.0,No description available
CA,float64,Numeric,0.02,64,25,0.049,No description available
NCA,float64,Numeric,0.97,64,25,0.049,No description available
CA_LT20,float64,Numeric,1.0,2,2,0.0039,No description available
M_CLT_EOMI,float64,Numeric,1.0,2,2,0.0039,No description available
M_ENY_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_TRN_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_HSG_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_PLN_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_WTR_EOMI,float64,Numeric,0.0,2,2,0.0039,No description available
M_HLTH_102,float64,Numeric,0.0,2,2,0.0039,No description available
M_WKFC_103,float64,Numeric,0.0,2,2,0.0039,No description available
FPL200S,float64,Numeric,0.0,2,2,0.0039,No description available
M_WKFC_105,float64,Numeric,0.0,2,2,0.0039,No description available
M_EBSI,float64,Numeric,0.0,2,2,0.0039,No description available
UI_EXP,object,Categorical,Nation,1,2,0.0039,No description available
THRHLD,float64,Numeric,21.0,1,2,0.0039,No description available
No_FireStation_1.0km,float64,Numeric,1.0,3,46201,90.5316,Number of fire stations within 1 km
No_FireStation_5.0km,float64,Numeric,1.0,17,19032,37.2935,Number of fire stations within 5 km
No_FireStation_10.0km,float64,Numeric,3.0,70,2140,4.1934,No description available
No_FireStation_20.0km,float64,Numeric,37.0,251,98,0.192,No description available
FRG_1km,object,Text,1(83%) / 3(17%) / 111(0%),11435,0,0.0,No description available
FRG,float64,Numeric,1.0,10,0,0.0,No description available
TRI_1km,float64,Numeric,4.944,6944,0,0.0,No description available
TRI,float64,Numeric,2.828,356,0,0.0,No description available
Aspect_1km,float64,Numeric,76.2362258953168,43128,0,0.0,No description available
Elevation_1km,float64,Numeric,84.90082644628099,49042,0,0.0,Elevation (meters)
Elevation,float64,Numeric,109.0,1452,0,0.0,Elevation (meters)
Slope_1km,float64,Numeric,2.4839302112029387,28126,0,0.0,Terrain slope
Aspect,float64,Numeric,-1.0,361,0,0.0,No description available
Slope,float64,Numeric,2.0,31,0,0.0,Terrain slope
GHM,float64,Numeric,0.34,102,0,0.0,No description available
TPI,float64,Numeric,0.25,83,0,0.0,No description available
TPI_1km,float64,Numeric,-0.01,26,0,0.0,No description available
TRACT,float64,Numeric,950100.0,1755,15,0.0294,No description available
RPL_THEMES,float64,Numeric,0.6414,4258,15,0.0294,No description available
RPL_THEME1,float64,Numeric,0.5194,4310,15,0.0294,No description available
EPL_POV,float64,Numeric,0.6305,1571,15,0.0294,No description available
EPL_UNEMP,float64,Numeric,0.3209,712,15,0.0294,No description available
EPL_PCI,float64,Numeric,0.4151,3823,2708,5.3064,No description available
EPL_NOHSDP,float64,Numeric,0.6621,1507,15,0.0294,No description available
RPL_THEME2,float64,Numeric,0.3947,4293,15,0.0294,No description available
EPL_AGE65,float64,Numeric,0.771,1151,15,0.0294,No description available
EPL_AGE17,float64,Numeric,0.3047,3241,15,0.0294,No description available
EPL_DISABL,float64,Numeric,0.5987,949,15,0.0294,No description available
EPL_SNGPNT,float64,Numeric,0.1983,3212,15,0.0294,No description available
RPL_THEME3,float64,Numeric,0.5672,4041,15,0.0294,No description available
EPL_MINRTY,float64,Numeric,0.4601,3655,15,0.0294,No description available
EPL_LIMENG,float64,Numeric,0.6312,2903,15,0.0294,No description available
RPL_THEME4,float64,Numeric,0.853,4378,15,0.0294,No description available
EPL_MUNIT,float64,Numeric,0.2931,2514,15,0.0294,No description available
EPL_MOBILE,float64,Numeric,0.9028,1299,15,0.0294,No description available
EPL_CROWD,float64,Numeric,0.7801,2797,15,0.0294,No description available
EPL_NOVEH,float64,Numeric,0.5706,798,15,0.0294,No description available
EPL_GROUPQ,float64,Numeric,0.6812,1900,15,0.0294,No description available
road_county_dis,float64,Numeric,27.0,252,50074,98.1208,Road/infrastructure distance
road_interstate_dis,float64,Numeric,23.6,34,50994,99.9236,Road/infrastructure distance
road_common_name_dis,float64,Numeric,16.8,506,17200,33.7037,Road/infrastructure distance
road_other_dis,float64,Numeric,23.4,169,50772,99.4886,Road/infrastructure distance
road_state_dis,float64,Numeric,20.1,228,50270,98.5049,Road/infrastructure distance
road_US_dis,float64,Numeric,20.5,89,50922,99.7825,Road/infrastructure distance
Ecoregion_US_L4CODE,object,Categorical,35a,56,10,0.0196,Ecoregion classification
Ecoregion_US_L3CODE,float64,Numeric,35.0,12,10,0.0196,Ecoregion classification
Ecoregion_NA_L3CODE,object,Categorical,8.3.7,12,10,0.0196,Ecoregion classification
Ecoregion_NA_L2CODE,float64,Numeric,8.3,6,10,0.0196,Ecoregion classification
Ecoregion_NA_L1CODE,float64,Numeric,8.0,4,10,0.0196,Ecoregion classification
SDI,float64,Numeric,0.08,90,0,0.0,No description available
Annual_etr,float64,Numeric,2202.0,1313,0,0.0,No description available
Annual_precipitation,float64,Numeric,1009.0,2018,0,0.0,Precipitation variable
Annual_tempreture,float64,Numeric,291.0,14,0,0.0,No description available
Aridity_index,float64,Numeric,0.46,135,0,0.0,No description available
Evacuation,float64,Numeric,2.0,4,50266,98.4971,No description available
pr,float64,Numeric,0.0,578,0,0.0,No description available
tmmn,float64,Numeric,271.3999938964844,436,0,0.0,No description available
tmmx,float64,Numeric,290.8999938964844,480,0,0.0,No description available
rmin,float64,Numeric,27.200000762939453,891,0,0.0,No description available
rmax,float64,Numeric,100.0,750,0,0.0,No description available
sph,float64,Numeric,0.0038399999029934,1983,0,0.0,No description available
vs,float64,Numeric,4.4,114,0,0.0,No description available
th,float64,Numeric,2.0,361,0,0.0,No description available
srad,float64,Numeric,111.0999984741211,3264,0,0.0,No description available
etr,float64,Numeric,4.2,187,0,0.0,No description available
fm100,float64,Numeric,16.6,220,0,0.0,No description available
fm1000,float64,Numeric,18.6,219,0,0.0,No description available
bi,float64,Numeric,33.0,117,0,0.0,No description available
vpd,float64,Numeric,0.67,464,0,0.0,No description available
erc,float64,Numeric,29.0,101,0,0.0,No description available
pr_5D_mean,float64,Numeric,0.0,1159,0,0.0,No description available
tmmn_5D_mean,float64,Numeric,272.7,3903,0,0.0,No description available
tmmx_5D_mean,float64,Numeric,280.6,3898,0,0.0,No description available
rmin_5D_mean,float64,Numeric,44.8,732,0,0.0,No description available
rmax_5D_mean,float64,Numeric,78.9,663,0,0.0,No description available
sph_5D_mean,float64,Numeric,0.003046,14809,0,0.0,No description available
vs_5D_mean,float64,Numeric,2.5,341,0,0.0,No description available
th_5D_mean,float64,Numeric,189.4,1471,0,0.0,No description available
srad_5D_mean,float64,Numeric,93.3,20006,0,0.0,No description available
etr_5D_mean,float64,Numeric,1.78,742,0,0.0,No description available
fm100_5D_mean,float64,Numeric,15.4,208,0,0.0,No description available
fm1000_5D_mean,float64,Numeric,19.1,214,0,0.0,No description available
bi_5D_mean,float64,Numeric,21.0,488,0,0.0,No description available
vpd_5D_mean,float64,Numeric,0.32,428,0,0.0,No description available
erc_5D_mean,float64,Numeric,25.4,457,0,0.0,No description available
pr_5D_min,float64,Numeric,0.0,46,0,0.0,No description available
pr_5D_max,float64,Numeric,0.0,961,0,0.0,No description available
tmmn_5D_max,float64,Numeric,272.7,372,0,0.0,No description available
tmmx_5D_max,float64,Numeric,280.6,393,0,0.0,No description available
