Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
LLE_ET,51031,51031,0.049597,0.0,0.217114,0.047138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.149167,15.21618,2531,4.9597,0,True,True,,,
EPL_MOBILE,51018,51018,0.199051,0.9013,25.033516,626.676901,-999.0,0.4228,0.8035,0.9411,0.9789,1.0,0.1376,-39.888011,1589.233536,2526,4.9512,0,True,True,,,
DSF_PFS,51016,51016,0.183179,0.13,0.178788,0.031965,0.0,0.03,0.06,0.21,0.64,0.96,0.15,2.045585,4.029352,2309,4.526,0,True,False,,,
M_PLN_EOMI,51031,51031,0.0446,0.0,0.206427,0.042612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.412389,17.469865,2276,4.46,0,True,True,,,
POV_ET,51031,51031,0.044189,0.0,0.205516,0.042237,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.435938,17.678237,2255,4.4189,0,True,True,,,
GACC_Uncont LF,50848,50848,3.304181,2.0,4.658626,21.702799,0.0,0.0,1.0,4.0,13.0,37.0,3.0,2.818596,9.856123,2214,4.3542,0,True,True,,,
LLELI,51031,51031,0.043366,0.0,0.203681,0.041486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.483989,18.106871,2213,4.3366,0,True,True,,,
PLHSE,51031,51031,0.039799,0.0,0.195489,0.038216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.708375,20.169589,2031,3.9799,0,True,True,,,
RMP_ET,51031,51031,0.033372,0.0,0.179607,0.032259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.196294,25.002446,1703,3.3372,0,True,True,,,
No_FireStation_1.0km,4832,4832,1.035389,1.0,0.198811,0.039526,1.0,1.0,1.0,1.0,1.0,3.0,0.0,6.02193,39.344941,158,3.2699,0,True,True,,,
M_PLN,51031,51031,0.030707,0.0,0.172524,0.029764,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.440539,27.600551,1567,3.0707,0,True,True,,,
RMPLI,51031,51031,0.025004,0.0,0.15614,0.02438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.084469,35.022141,1276,2.5004,0,True,True,,,
GACC_NIMO Teams,50848,50848,0.024524,0.0,0.15943,0.025418,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.693618,46.899342,1209,2.3777,0,True,True,,,
CONT_TIME,4964,4964,1613.901289,1658.0,419.695798,176144.562892,0.0,850.3,1445.0,1856.0,2150.0,2359.0,411.0,-1.456724,3.272823,116,2.3368,0,False,False,,,
M_HSG_EOMI,51031,51031,0.02328,0.0,0.150793,0.022738,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.323098,37.983061,1188,2.328,0,True,True,,,
Slope,51033,51033,1.554817,1.0,1.662932,2.765341,0.0,0.0,1.0,2.0,4.0,36.0,1.0,4.164603,43.794974,1156,2.2652,0,True,True,,,
HSEF,50997,50997,0.167671,0.14,0.101031,0.010207,0.0,0.06,0.11,0.2,0.38,0.74,0.09,1.889369,4.95548,1041,2.0413,0,False,False,,,
GAP_Prity,51031,51031,0.141679,0.0,1.004728,1.009478,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.099651,49.503483,1015,1.989,0,True,True,,,
M_HSG,51031,51031,0.018988,0.0,0.136485,0.018628,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.048819,47.687717,969,1.8988,0,True,True,,,
TRI,51033,51033,2.527341,2.0,2.267577,5.141904,0.0,0.0,1.414,3.162,6.083,54.69,1.748,4.640532,55.700182,952,1.8655,0,True,True,,,
HB_ET,51031,51031,0.018185,0.0,0.133621,0.017855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.211926,50.013841,928,1.8185,0,True,True,,,
HBLI,51031,51031,0.015167,0.0,0.122219,0.014937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.934143,60.953015,774,1.5167,0,True,True,,,
EPLR_PFS,51016,51016,0.799722,0.83,0.163739,0.02681,0.03,0.39,0.76,0.92,0.96,0.99,0.16,-1.861085,3.882102,740,1.4505,0,False,False,,,
NPL_ET,51031,51031,0.013854,0.0,0.116887,0.013663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.318518,67.200383,707,1.3854,0,True,True,,,
NCA,51008,51008,0.943398,0.95,0.048952,0.002396,0.0,0.89,0.93,0.97,0.98,1.0,0.04,-7.835349,98.771511,685,1.3429,0,True,True,,,
GAP_Sts,51031,51031,3.977661,4.0,0.211956,0.044925,1.0,4.0,4.0,4.0,4.0,4.0,0.0,-10.796109,125.82406,672,1.3168,0,True,True,,,
CA,51008,51008,0.046668,0.04,0.048946,0.002396,0.0,0.01,0.02,0.06,0.1,1.0,0.04,7.896747,100.285947,665,1.3037,0,True,True,,,
road_common_name_dis,33833,33833,17.624183,17.2,8.975102,80.552455,0.1,4.5,12.3,22.4,29.4,247.5,10.1,2.762437,41.399743,441,1.3035,0,True,True,,,
DISCOVERY_TIME,5071,5071,1486.927628,1515.0,334.15983,111662.791803,0.0,900.0,1330.0,1654.0,2015.0,2354.0,324.0,-0.899811,2.927409,61,1.2029,0,False,False,,,
NPL_PFS,51031,51031,0.211366,0.14,0.205991,0.042432,0.0,0.02,0.06,0.27,0.68,0.99,0.21,1.666677,2.438212,592,1.1601,0,False,False,,,
M_TRN_EOMI,51031,51031,0.01115,0.0,0.105005,0.011026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.311379,84.705106,569,1.115,0,True,True,,,
M_WTR_EOMI,51031,51031,0.010817,0.0,0.103442,0.0107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.458523,87.467086,552,1.0817,0,True,True,,,
WD_ET,51031,51031,0.010817,0.0,0.103442,0.0107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.458523,87.467086,552,1.0817,0,True,True,,,
TF_PFS,46738,46738,0.21153,0.16,0.191008,0.036484,0.0,0.02,0.08,0.28,0.63,0.99,0.2,1.663998,2.848492,485,1.0377,0,False,False,,,
CA_LT20,51031,51031,0.989634,1.0,0.101287,0.010259,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-9.668655,91.486475,529,1.0366,0,True,True,,,
TP_ET,51031,51031,0.00923,0.0,0.095628,0.009145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.264579,103.365633,471,0.923,0,True,True,,,
TRI_1km,51033,51033,2.668422,2.361,1.76814,3.126318,0.0,0.683,1.633,3.35,5.394,55.312,1.717,5.096887,78.721979,427,0.8367,0,True,True,,,
SFLI,51031,51031,0.007701,0.0,0.087419,0.007642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.26344,124.869986,393,0.7701,0,True,True,,,
PM25_ET,51031,51031,0.007603,0.0,0.086865,0.007546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.337478,126.543373,388,0.7603,0,True,True,,,
FRG,51033,51033,2.26526,2.0,45.527822,2072.782532,-9999.0,1.0,1.0,2.0,2.0,133.0,1.0,-207.586803,45634.793934,376,0.7368,0,True,True,,,
