Column,Unique Count,Missing %,Top Category,Top Category Count,Top Category %,Top 5 Categories
erc_Percentile,6,0.0529,70-90%,15304,29.9884,70-90%: 15304; >90%: 12194; 50-70%: 10897; 30-50%: 7394; 10-30%: 4210
Ecoregion_NA_L2CODE,6,0.0196,9.4,27123,53.148,9.4: 27123; 8.3: 18522; 9.5: 3124; 9.6: 1857; 10.2: 389
bi_Percentile,6,0.0725,70-90%,15314,30.008,70-90%: 15314; >90%: 13886; 50-70%: 9473; 10-30%: 5574; 30-50%: 5169
fm100_Percentile,6,0.0098,10-30%,14865,29.1282,10-30%: 14865; <10%: 11938; 30-50%: 9984; 50-70%: 7786; 70-90%: 4931
SOURCE_SYSTEM,6,0.0,ST-NASF,50081,98.1345,ST-NASF: 50081; FWS-FMIS: 300; DOI-WFMI: 234; FS-FIRESTAT: 217; IA-IRWIN: 177
vs_Percentile,6,0.1117,70-90%,10849,21.2588,70-90%: 10849; 50-70%: 10741; 30-50%: 10445; 10-30%: 9059; >90%: 6449
NPL,5,0.0,1.0,27824,54.5216,1.0: 27824; 2.0: 12143; 3.0: 4963; 4.0: 3088; 5.0: 3015
LatLong_State,5,0.0294,Texas,51004,99.9432,Texas: 51004; New Mexico: 4; Oklahoma: 4; Louisiana: 3; Arkansas: 3
GACC_PL,5,0.3625,1.0,24289,47.5947,1.0: 24289; 2.0: 16793; 3.0: 7395; 5.0: 1202; 4.0: 1169
GAP_Prity,5,0.0039,0.0,50016,98.0072,0.0: 50016; 6.0: 343; 7.0: 325; 8.0: 226; 9.0: 121
Ecoregion_NA_L1CODE,4,0.0196,9.0,32104,62.9083,9.0: 32104; 8.0: 18522; 10.0: 389; 13.0: 8
GAP_Sts,4,0.0039,4.0,50359,98.6793,4.0: 50359; 3.0: 325; 2.0: 226; 1.0: 121
Evacuation,4,98.4971,2.0,572,1.1208,2.0: 572; 4.0: 146; 7.0: 39; 6.0: 10
NWCG_CAUSE_CLASSIFICATION,3,0.0,Human,43955,86.1305,Human: 43955; Missing data/not specified/undetermined: 5186; Natural: 1892
GACC_NIMO Teams,3,0.3625,0.0,49639,97.2684,0.0: 49639; 1.0: 1171; 2.0: 38
No_FireStation_1.0km,3,90.5316,1.0,4674,9.1588,1.0: 4674; 2.0: 145; 3.0: 13
SOURCE_SYSTEM_TYPE,3,0.0,NONFED,50081,98.1345,NONFED: 50081; FED: 751; INTERAGCY: 201
HD_ET,2,0.0039,0.0,43652,85.5368,0.0: 43652; 1.0: 7379
POV_ET,2,0.0039,0.0,48776,95.5774,0.0: 48776; 1.0: 2255
LISO_ET,2,0.0039,0.0,47738,93.5434,0.0: 47738; 1.0: 3293
UN_ET,2,0.0039,0.0,47969,93.996,0.0: 47969; 1.0: 3062
LLE_ET,2,0.0039,0.0,48500,95.0365,0.0: 48500; 1.0: 2531
TSDF_ET,2,0.0039,0.0,51022,99.9784,0.0: 51022; 1.0: 9
A_ET,2,0.0039,0.0,50660,99.2691,0.0: 50660; 1.0: 371
DB_ET,2,0.0039,0.0,43893,86.0091,0.0: 43893; 1.0: 7138
WD_ET,2,0.0039,0.0,50479,98.9144,0.0: 50479; 1.0: 552
NPL_ET,2,0.0039,0.0,50324,98.6107,0.0: 50324; 1.0: 707
RMP_ET,2,0.0039,0.0,49328,96.659,0.0: 49328; 1.0: 1703
LMI_ET,2,0.0039,0.0,48195,94.4389,0.0: 48195; 1.0: 2836
M_HLTH_102,2,0.0039,0.0,38956,76.3349,0.0: 38956; 1.0: 12075
LHE,2,0.0039,1.0,39692,77.7771,1.0: 39692; 0.0: 11339
CA_LT20,2,0.0039,1.0,50502,98.9595,1.0: 50502; 0.0: 529
M_CLT_EOMI,2,0.0039,1.0,29987,58.76,1.0: 29987; 0.0: 21044
M_ENY_EOMI,2,0.0039,0.0,44607,87.4081,0.0: 44607; 1.0: 6424
M_TRN_EOMI,2,0.0039,0.0,50462,98.8811,0.0: 50462; 1.0: 569
M_HSG_EOMI,2,0.0039,0.0,49843,97.6682,0.0: 49843; 1.0: 1188
M_PLN_EOMI,2,0.0039,0.0,48755,95.5362,0.0: 48755; 1.0: 2276
M_WTR_EOMI,2,0.0039,0.0,50479,98.9144,0.0: 50479; 1.0: 552
TP_ET,2,0.0039,0.0,50560,99.0731,0.0: 50560; 1.0: 471
M_WKFC_103,2,0.0039,0.0,44021,86.2599,0.0: 44021; 1.0: 7010
FPL200S,2,0.0039,0.0,32402,63.4923,0.0: 32402; 1.0: 18629
M_WKFC_105,2,0.0039,1.0,39692,77.7771,1.0: 39692; 0.0: 11339
M_EBSI,2,0.0039,0.0,32776,64.2251,0.0: 32776; 1.0: 18255
LPP_ET,2,0.0039,0.0,50748,99.4415,0.0: 50748; 1.0: 283
HB_ET,2,0.0039,0.0,50103,98.1776,0.0: 50103; 1.0: 928
DS_ET,2,0.0039,0.0,50857,99.6551,0.0: 50857; 1.0: 174
SFLI,2,0.0039,0.0,50638,99.226,0.0: 50638; 1.0: 393
HBLI,2,0.0039,0.0,50257,98.4794,0.0: 50257; 1.0: 774
LPMHVLI,2,0.0039,0.0,50813,99.5689,0.0: 50813; 1.0: 218
TPLI,2,0.0039,0.0,50755,99.4553,0.0: 50755; 1.0: 276
DPMLI,2,0.0039,0.0,50953,99.8432,0.0: 50953; 1.0: 78
EBLI,2,0.0039,0.0,46685,91.48,0.0: 46685; 1.0: 4346
PM25LI,2,0.0039,0.0,50717,99.3808,0.0: 50717; 1.0: 314
EALRLI,2,0.0039,0.0,47332,92.7478,0.0: 47332; 1.0: 3699
EPLRLI,2,0.0039,0.0,46314,90.753,0.0: 46314; 1.0: 4717
SM_PFS,2,0.0039,0.0,34618,67.8345,0.0: 34618; 1.0: 16413
SM_C,2,0.0039,0.0,34618,67.8345,0.0: 34618; 1.0: 16413
M_HLTH,2,0.0039,0.0,41513,81.3454,0.0: 41513; 1.0: 9518
M_PLN,2,0.0039,0.0,49464,96.9255,0.0: 49464; 1.0: 1567
M_HSG,2,0.0039,0.0,50062,98.0973,0.0: 50062; 1.0: 969
M_TRN,2,0.0039,0.0,50703,99.3534,0.0: 50703; 1.0: 328
M_ENY,2,0.0039,0.0,46442,91.0039,0.0: 46442; 1.0: 4589
M_CLT,2,0.0039,0.0,41457,81.2357,0.0: 41457; 1.0: 9574
M_WKFC,2,0.0039,0.0,44470,87.1397,0.0: 44470; 1.0: 6561
M_WTR,2,0.0039,0.0,50815,99.5728,0.0: 50815; 1.0: 216
GACC_Area Command Teams,2,0.3625,0.0,50789,99.5219,0.0: 50789; 1.0: 59
PM25_ET,2,0.0039,0.0,50643,99.2358,0.0: 50643; 1.0: 388
RMPLI,2,0.0039,0.0,49755,97.4957,0.0: 49755; 1.0: 1276
LLELI,2,0.0039,0.0,48818,95.6597,0.0: 48818; 1.0: 2213
HDLI,2,0.0039,0.0,45559,89.2736,0.0: 45559; 1.0: 5472
EB_ET,2,0.0039,0.0,44924,88.0293,0.0: 44924; 1.0: 6107
EBL_ET,2,0.0039,0.0,33688,66.0122,0.0: 33688; 1.0: 17343
EAL_ET,2,0.0039,0.0,40557,79.4721,0.0: 40557; 1.0: 10474
EPL_ET,2,0.0039,0.0,34639,67.8757,0.0: 34639; 1.0: 16392
ULHSE,2,0.0039,0.0,48181,94.4115,0.0: 48181; 1.0: 2850
LMILHSE,2,0.0039,0.0,48325,94.6936,0.0: 48325; 1.0: 2706
PLHSE,2,0.0039,0.0,49000,96.0163,0.0: 49000; 1.0: 2031
LILHSE,2,0.0039,0.0,47747,93.561,0.0: 47747; 1.0: 3284
HWLI,2,0.0039,0.0,51030,99.9941,0.0: 51030; 1.0: 1
EBLRLI,2,0.0039,0.0,46452,91.0235,0.0: 46452; 1.0: 4579
ALI,2,0.0039,0.0,50684,99.3161,0.0: 50684; 1.0: 347
DLI,2,0.0039,0.0,44807,87.8001,0.0: 44807; 1.0: 6224
WDLI,2,0.0039,0.0,50815,99.5728,0.0: 50815; 1.0: 216
THRHLD,1,0.0039,21.0,51031,99.9961,21.0: 51031
tmmn_Percentile,1,0.0,>90%,51033,100.0,>90%: 51033
UI_EXP,1,0.0039,Nation,51031,99.9961,Nation: 51031
IA_LMI_ET,1,0.0039,0.0,51031,99.9961,0.0: 51031
STATE,1,0.0,TX,51033,100.0,TX: 51033
IA_UN_ET,1,0.0039,0.0,51031,99.9961,0.0: 51031
IA_POV_ET,1,0.0039,0.0,51031,99.9961,0.0: 51031
tmmx_Percentile,1,0.0,>90%,51033,100.0,>90%: 51033
NWCG_CAUSE_AGE_CATEGORY,1,99.4121,Minor,300,0.5879,Minor: 300
IAULHSE,1,0.0039,0.0,51031,99.9961,0.0: 51031
IAPLHSE,1,0.0039,0.0,51031,99.9961,0.0: 51031
IALMILHSE,1,0.0039,0.0,51031,99.9961,0.0: 51031
IALHE,1,0.0039,0.0,51031,99.9961,0.0: 51031
