Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
GDP,51022,51022,49072.67258,49515.246,3052.267428,9316336.451966,15985.28,48723.184,49515.246,49515.246,49515.246,49515.246,0.0,-10.02687,100.25028,9201,18.0334,0,True,True,,,
CA_LT20,51031,51031,0.989634,1.0,0.101287,0.010259,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-9.668655,91.486475,529,1.0366,0,True,True,,,
M_WTR_EOMI,51031,51031,0.010817,0.0,0.103442,0.0107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.458523,87.467086,552,1.0817,0,True,True,,,
WD_ET,51031,51031,0.010817,0.0,0.103442,0.0107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.458523,87.467086,552,1.0817,0,True,True,,,
M_TRN_EOMI,51031,51031,0.01115,0.0,0.105005,0.011026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.311379,84.705106,569,1.115,0,True,True,,,
pr_5D_mean,51033,51033,1.57467,0.06,3.826598,14.642851,0.0,0.0,0.0,1.5,7.92,213.72,1.5,9.093269,253.964872,3959,7.7577,0,True,True,,,
NPL_ET,51031,51031,0.013854,0.0,0.116887,0.013663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.318518,67.200383,707,1.3854,0,True,True,,,
HBLI,51031,51031,0.015167,0.0,0.122219,0.014937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.934143,60.953015,774,1.5167,0,True,True,,,
CA,51008,51008,0.046668,0.04,0.048946,0.002396,0.0,0.01,0.02,0.06,0.1,1.0,0.04,7.896747,100.285947,665,1.3037,0,True,True,,,
NCA,51008,51008,0.943398,0.95,0.048952,0.002396,0.0,0.89,0.93,0.97,0.98,1.0,0.04,-7.835349,98.771511,685,1.3429,0,True,True,,,
HB_ET,51031,51031,0.018185,0.0,0.133621,0.017855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.211926,50.013841,928,1.8185,0,True,True,,,
pr_5D_max,51033,51033,6.370427,0.3,14.846972,220.432583,0.0,0.0,0.0,6.3,31.8,518.3,6.3,7.132044,115.382937,3854,7.552,0,True,True,,,
GAP_Prity,51031,51031,0.141679,0.0,1.004728,1.009478,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.099651,49.503483,1015,1.989,0,True,True,,,
