,count,mean,std,min,5%,25%,50%,75%,95%,max
RMP_ET,50879.0,0.06535112718410346,0.24714683466672763,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NPL_ET,50879.0,0.05318500756697262,0.22440443909237184,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TSDF_ET,50879.0,0.028086243833408676,0.16522089234556414,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WD_ET,50879.0,0.051828848837437845,0.22168352477565254,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DB_ET,50879.0,0.03366811454627646,0.18037519805024782,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_ET,50879.0,0.03315709821340828,0.17904841563443155,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HD_ET,50879.0,0.08309911751410208,0.2760346930335654,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LLE_ET,50879.0,0.032272646868059515,0.17672503211362578,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UN_ET,50879.0,0.1988246624344032,0.39911971503816135,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LISO_ET,50879.0,0.12274219226006801,0.3281442714215455,0.0,0.0,0.0,0.0,0.0,1.0,1.0
POV_ET,50879.0,0.08475009335875312,0.2785121893439037,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LMI_ET,50879.0,0.10255704711177499,0.3033824454630772,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IA_LMI_ET,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA_UN_ET,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA_POV_ET,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,50879.0,1.2310383458794394,2.009388437619386,0.0,0.0,0.0,0.0,2.0,5.0,14.0
CC,50879.0,0.9178246427799288,1.3710648697806256,0.0,0.0,0.0,0.0,2.0,4.0,8.0
IAULHSE,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAPLHSE,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IALMILHSE,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IALMIL_87,0.0,,,,,,,,,
IAPLHS_88,0.0,,,,,,,,,
IAULHS_89,0.0,,,,,,,,,
LHE,50879.0,0.5664616049843747,0.49556803968748275,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IALHE,50879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAHSEF,0.0,,,,,,,,,
CA,50856.0,0.06346114519427404,0.04386489236600349,0.0,0.02,0.04,0.06,0.08,0.12,0.99
NCA,50856.0,0.9266179015258769,0.043974205903329844,0.0,0.87,0.91,0.93,0.95,0.97,1.0
CA_LT20,50879.0,0.9919613199944968,0.08929846783849756,0.0,1.0,1.0,1.0,1.0,1.0,1.0
M_CLT_EOMI,50879.0,0.593742015369799,0.4911386520639522,0.0,0.0,0.0,1.0,1.0,1.0,1.0
M_ENY_EOMI,50879.0,0.38695729082725683,0.4870585267248514,0.0,0.0,0.0,0.0,1.0,1.0,1.0
M_TRN_EOMI,50879.0,0.0538139507458873,0.2256524102184302,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_HSG_EOMI,50879.0,0.06501700112030503,0.24655828012965206,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_PLN_EOMI,50879.0,0.11558796359991352,0.31973331940191974,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_WTR_EOMI,50879.0,0.051828848837437845,0.22168352477565254,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_HLTH_102,50879.0,0.14467658562471747,0.3517779177162097,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_WKFC_103,50879.0,0.31087482065292166,0.46285621658403525,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FPL200S,50879.0,0.3854045873543112,0.486695538304967,0.0,0.0,0.0,0.0,1.0,1.0,1.0
M_WKFC_105,50879.0,0.5664616049843747,0.49556803968748275,0.0,0.0,0.0,1.0,1.0,1.0,1.0
M_EBSI,50879.0,0.381375420114389,0.48572919016982474,0.0,0.0,0.0,0.0,1.0,1.0,1.0
THRHLD,50879.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
No_FireStation_1.0km,8121.0,1.063292697943603,0.2539024368639298,1.0,1.0,1.0,1.0,1.0,2.0,4.0
No_FireStation_5.0km,38805.0,3.937559592835975,3.5231270420689205,1.0,1.0,1.0,3.0,5.0,11.0,41.0
No_FireStation_10.0km,48447.0,15.846657171754702,16.775096678032636,1.0,1.0,5.0,11.0,20.0,49.0,120.0
No_FireStation_20.0km,50703.0,60.48758456107134,59.70900301886531,1.0,7.0,20.0,40.0,78.0,178.0,393.0
FRG,50881.0,15.700733083076198,59.3586854551825,-9999.0,1.0,1.0,3.0,4.0,133.0,133.0
TRI_1km,50881.0,10.506549733692342,10.429333360946044,0.0,0.41,1.776,7.303,16.35,31.659,75.334
TRI,50881.0,8.5822303413848,10.948745793219604,0.0,0.0,1.732,4.123,11.446,32.342,146.792
Aspect_1km,50881.0,76.37293143047773,61.518451961418776,-0.8134911242603551,-0.8016317016317016,7.737373737373737,82.25571095571095,131.75151515151515,166.75407925407924,235.56037296037297
Elevation_1km,50881.0,422.68847932304925,489.6335784800652,-65.64439853076216,11.180211202938477,66.11937557392103,221.95314685314685,624.2151056014692,1525.2194674012856,2981.4801864801866
Elevation,50881.0,525.060376171852,617.340483631547,-83.0,12.0,80.0,267.0,775.0,1912.0,3650.0
Slope_1km,50881.0,5.438178210965438,5.828539699217665,-0.8130177514792899,-0.7254079254079254,0.4848484848484848,3.8932400932400935,9.009790209790207,17.157483930211203,34.48828402366864
Aspect,50881.0,91.8584540398184,115.17497016997902,-1.0,-1.0,-1.0,5.0,191.0,315.0,359.0
Slope,50881.0,5.706766769521039,7.547005424965494,0.0,0.0,1.0,3.0,8.0,23.0,59.0
GHM,50881.0,-3.544538112820509e+35,1.0976844048721093e+37,-3.402823466385289e+38,0.03,0.25,0.45,0.71,0.92,0.99
TPI,50881.0,-0.03283642224012893,1.4021966026387656,-15.25,-2.0,-0.375,0.0,0.375,2.0,40.5
TPI_1km,50881.0,-0.005988482930760009,0.04268534070088625,-0.55,-0.08,-0.02,0.0,0.0,0.06,0.45
TRACT,50837.0,87424.1642504475,209882.81262193143,100.0,120.0,1301.0,10102.0,42412.0,553901.0,990000.0
RPL_THEMES,50837.0,-0.18962437594665302,28.37802712407925,-999.0,0.162,0.4245,0.6372,0.8476,0.9713,1.0
RPL_THEME1,50837.0,-0.15257520900131794,27.3204000133827,-999.0,0.1318,0.4043,0.6151,0.8207,0.97,0.9999
EPL_POV,50837.0,0.07168881129885717,22.16235706461922,-999.0,0.1185,0.369,0.5829,0.7704,0.9396,0.9998
EPL_UNEMP,50837.0,0.07330229163798023,24.278699806446056,-999.0,0.1372,0.4859,0.7263,0.8842,0.9697,1.0
EPL_PCI,47165.0,0.028476346867380483,22.06871698141651,-999.0,0.0681,0.2918,0.5125,0.7614,0.9543,0.9999
EPL_NOHSDP,50837.0,0.20032316029663433,19.32287852581202,-999.0,0.0996,0.3459,0.5738,0.8357,0.9852,0.9999
RPL_THEME2,50837.0,-0.10066526742333338,25.459866892454023,-999.0,0.09938000000000002,0.355,0.5697,0.7608,0.923,0.9998
EPL_AGE65,50837.0,0.22028811298857134,18.808305335820265,-999.0,0.0678,0.2657,0.6334,0.8798,0.9671,0.9999
EPL_AGE17,50837.0,0.1314375867970179,18.806633877825,-999.0,0.058,0.1947,0.4336,0.803,0.9629,1.0
EPL_DISABL,50837.0,0.024722493459488175,23.454198070959823,-999.0,0.0875,0.3446,0.6027,0.8322,0.9574,0.9999
EPL_SNGPNT,50837.0,0.09608599051871666,18.80555407333716,-999.0,0.0426,0.1944,0.4085,0.7078,0.9245,0.9999
RPL_THEME3,50837.0,0.15434707791569136,21.258890429280584,-999.0,0.1677,0.3972,0.6337,0.8331,0.9673,0.9999
EPL_MINRTY,50837.0,0.2259610480555501,18.80712337415788,-999.0,0.2406,0.384,0.5762,0.7767,0.9267399999999993,0.9968
EPL_LIMENG,50837.0,0.2538105435017802,18.80843345467098,-999.0,0.0,0.3962,0.6561,0.8521,0.9733,0.9999
RPL_THEME4,50837.0,-0.1671455514684187,27.677325370510797,-999.0,0.1488,0.415,0.6245,0.815,0.9511,1.0
EPL_MUNIT,50837.0,-0.04809029643763399,18.80249789483317,-999.0,0.0,0.0,0.2956,0.4743,0.8114,0.9988
