========================================================================
  California Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 50,881
  Columns        : 310
  Large fires    : 965  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,916  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  EPL_PCI                                        float64          4,957     3,716     7.3%
  EPL_NOHSDP                                     float64          1,605        44     0.1%
  RPL_THEME2                                     float64          5,655        44     0.1%
  EPL_AGE65                                      float64          1,274        44     0.1%
  EPL_AGE17                                      float64          3,771        44     0.1%
  EPL_DISABL                                     float64            994        44     0.1%
  EPL_SNGPNT                                     float64          3,610        44     0.1%
  RPL_THEME3                                     float64          4,731        44     0.1%
  EPL_MINRTY                                     float64          4,054        44     0.1%
  EPL_LIMENG                                     float64          3,270        44     0.1%
  RPL_THEME4                                     float64          5,632        44     0.1%
  EPL_MUNIT                                      float64          3,050        44     0.1%
  EPL_MOBILE                                     float64          1,184        44     0.1%
  EPL_CROWD                                      float64          3,067        44     0.1%
  EPL_NOVEH                                      float64            885        44     0.1%
  EPL_GROUPQ                                     float64          2,711        44     0.1%
  road_county_dis                                float64            282    50,042    98.4%
  road_interstate_dis                            float64             38    50,840    99.9%
  road_common_name_dis                           float64            626    17,820    35.0%
  road_other_dis                                 float64            216    50,536    99.3%
  road_state_dis                                 float64            240    50,188    98.6%
  road_US_dis                                    float64            102    50,758    99.8%
  Ecoregion_US_L4CODE                            object             174        68     0.1%
  Ecoregion_US_L3CODE                            float64             14        68     0.1%
  Ecoregion_NA_L3CODE                            object              13        68     0.1%
  Ecoregion_NA_L2CODE                            float64              6        68     0.1%
  Ecoregion_NA_L1CODE                            float64              5        68     0.1%
  SDI                                            float64            224         0     0.0%
  Annual_etr                                     float64          2,203         0     0.0%
  Annual_precipitation                           float64          2,469         0     0.0%
  Annual_tempreture                              float64             26         0     0.0%
  Aridity_index                                  float64            227         0     0.0%
  Evacuation                                     float64              5    45,352    89.1%
  pr                                             float64            355         0     0.0%
  tmmn                                           float64            421         0     0.0%
  tmmx                                           float64            458         0     0.0%
  rmin                                           float64            841         0     0.0%
  rmax                                           float64            871         0     0.0%
  sph                                            float64          1,417         0     0.0%
  vs                                             float64            135         0     0.0%
  th                                             float64            361         0     0.0%
  srad                                           float64          3,284         0     0.0%
  etr                                            float64            214         0     0.0%
  fm100                                          float64            253         0     0.0%
  fm1000                                         float64            284         0     0.0%
  bi                                             float64            127         0     0.0%
  vpd                                            float64            579         0     0.0%
  erc                                            float64            114         0     0.0%
  pr_5D_mean                                     float64            758         0     0.0%
  tmmn_5D_mean                                   float64          3,339         0     0.0%
  tmmx_5D_mean                                   float64          3,832         0     0.0%
  rmin_5D_mean                                   float64            763         0     0.0%
  rmax_5D_mean                                   float64            832         0     0.0%
  sph_5D_mean                                    float64          9,894         0     0.0%
  vs_5D_mean                                     float64            455         0     0.0%
  th_5D_mean                                     float64          1,627         0     0.0%
  srad_5D_mean                                   float64         18,684         0     0.0%
  etr_5D_mean                                    float64            830         0     0.0%
  fm100_5D_mean                                  float64            243         0     0.0%
  fm1000_5D_mean                                 float64            282         0     0.0%
  bi_5D_mean                                     float64            524         0     0.0%
  vpd_5D_mean                                    float64            552         0     0.0%
  erc_5D_mean                                    float64            546         0     0.0%
  pr_5D_min                                      float64             41         0     0.0%
  pr_5D_max                                      float64            579         0     0.0%
  tmmn_5D_max                                    float64            397         0     0.0%
  tmmx_5D_max                                    float64            438         0     0.0%
  rmin_5D_min                                    float64            676         0     0.0%
  rmax_5D_min                                    float64            892         0     0.0%
  sph_5D_min                                     float64          1,276         0     0.0%
  vs_5D_max                                      float64            141         0     0.0%
  th_5D_max                                      float64            348         0     0.0%
  srad_5D_max                                    float64          2,903         0     0.0%
  etr_5D_max                                     float64            221         0     0.0%
  fm100_5D_min                                   float64            227         0     0.0%
  fm1000_5D_min                                  float64            273         0     0.0%
  bi_5D_max                                      float64            136         0     0.0%
  vpd_5D_max                                     float64            624         0     0.0%
  erc_5D_max                                     float64            115         0     0.0%
  tmmn_Percentile                                object               1         0     0.0%
  tmmx_Percentile                                object               1         0     0.0%
  sph_Percentile                                 object               6         0     0.0%
  vs_Percentile                                  object               7       112     0.2%
  fm100_Percentile                               object               7         7     0.0%
  bi_Percentile                                  object               7        44     0.1%
  vpd_Percentile                                 object              13        63     0.1%
  erc_Percentile                                 object               7        45     0.1%
  NDVI-1day                                      float64            114     1,186     2.3%
  NDVI_min                                       object          38,690         0     0.0%
  NDVI_max                                       object          38,691         0     0.0%
  NDVI_mean                                      object          38,691         0     0.0%
  CheatGrass                                     float64             44    13,847    27.2%
  ExoticAnnualGrass                              float64             52    13,847    27.2%
  Medusahead                                     float64             28    13,847    27.2%
  PoaSecunda                                     float64             21    13,847    27.2%
  geometry                                       float64              1    50,881   100.0%
  source_year                                    int64                7         0     0.0%
  large_fire                                     int32                2         0     0.0%
